output,columnNames
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
1.840183057,3-amino-piperidin-2-one
